transaction_id,timestamp,user_id,receiver_id,amount,transaction_type,location,device_type,is_rooted_device,network_type,time_of_day,is_fraud
100001,2025-01-01 00:00:00.000000,1103,5974,257.67,merchant_payment,Ahmedabad,mobile,0,4G,night,0
100002,2025-01-01 01:45:08.461492,1436,5632,216.09,merchant_payment,Delhi,mobile,0,WiFi,night,0
100003,2025-01-01 03:30:16.922984,1861,5894,190.54,send,Pune,mobile,0,5G,night,0
100004,2025-01-01 05:15:25.384476,1271,5567,403.96,receive,Bangalore,mobile,1,4G,night,1
100005,2025-01-01 07:00:33.845969,1107,5027,591.74,merchant_payment,Kolkata,mobile,0,WiFi,morning,1
100006,2025-01-01 08:45:42.307461,1072,5630,138.5,send,Hyderabad,mobile,0,4G,morning,0
100007,2025-01-01 10:30:50.768953,1701,5733,170.09,send,Chennai,mobile,0,5G,morning,0
100008,2025-01-01 12:15:59.230446,1021,5231,246.05,merchant_payment,Kolkata,mobile,0,WiFi,afternoon,0
100009,2025-01-01 14:01:07.691938,1615,5565,189.62,receive,Chennai,mobile,0,4G,afternoon,0
100010,2025-01-01 15:46:16.153430,1122,5807,511.2,receive,Chennai,mobile,0,4G,afternoon,0
100011,2025-01-01 17:31:24.614922,1467,5321,707.14,receive,Hyderabad,mobile,0,5G,afternoon,0
100012,2025-01-01 19:16:33.076415,1215,5913,616.39,send,Hyderabad,mobile,0,5G,evening,1
100013,2025-01-01 21:01:41.537907,1331,5233,617.29,merchant_payment,Pune,mobile,0,WiFi,evening,0
100014,2025-01-01 22:46:49.999399,1459,5670,2620.16,send,Hyderabad,mobile,0,5G,evening,0
100015,2025-01-02 00:31:58.460892,1088,5437,752.71,send,Bangalore,mobile,0,4G,night,0
100016,2025-01-02 02:17:06.922384,1373,5781,1079.19,send,Delhi,tablet,0,WiFi,night,0
100017,2025-01-02 04:02:15.383876,1100,5533,325.51,send,Mumbai,mobile,0,WiFi,night,0
100018,2025-01-02 05:47:23.845369,1872,5403,1266.49,merchant_payment,Hyderabad,mobile,0,4G,night,0
100019,2025-01-02 07:32:32.306861,1664,5053,310.33,merchant_payment,Delhi,mobile,0,4G,morning,0
100020,2025-01-02 09:17:40.768353,1131,5787,743.56,merchant_payment,Pune,mobile,0,4G,morning,0
